policy_key,policy_id,policy_date_key,customer_key,product_key,agent_key,branch_key,policy_type,sum_insured,gross_written_premium,policy_start_date,policy_end_date,is_renewal,is_cancelled
1,POL000001,20250610,2168,1,1,1,New Business,33689.27,2670.14,2025-06-10,2026-06-10,False,False
2,POL000002,20240303,2327,1,37,3,New Business,77500.68,8774.32,2024-03-03,2025-03-03,False,False
3,POL000003,20231203,2608,1,40,4,Renewal,54543.56,3781.82,2023-12-03,2024-12-02,True,False
4,POL000004,20220212,398,9,10,4,Renewal,100735.9,6766.33,2022-02-12,2023-02-12,True,False
5,POL000005,20251204,2894,8,12,2,Renewal,70298.48,3955.5,2025-12-04,2026-12-04,True,False
6,POL000006,20251202,2549,3,3,2,Cancellation,69135.34,1840.85,2025-12-02,2026-12-02,False,True
7,POL000007,20240922,1277,1,19,5,New Business,39118.97,2415.29,2024-09-22,2025-09-22,False,False
8,POL000008,20240611,686,4,7,5,Renewal,278174.1,18250.45,2024-06-11,2025-06-11,True,False
9,POL000009,20260723,1382,9,30,3,Cancellation,425303.05,8590.9,2026-07-23,2027-07-23,False,True
10,POL000010,20240327,477,3,36,5,New Business,43378.62,3959.83,2024-03-27,2025-03-27,False,False
11,POL000011,20250307,2011,1,13,3,Renewal,65574.94,7715.53,2025-03-07,2026-03-07,True,False
12,POL000012,20240912,1968,1,38,1,New Business,107020.59,7516.48,2024-09-12,2025-09-12,False,False
13,POL000013,20230826,1313,6,34,2,Renewal,478892.73,29153.72,2023-08-26,2024-08-25,True,False
14,POL000014,20241115,2238,3,13,3,New Business,30404.63,3158.69,2024-11-15,2025-11-15,False,False
15,POL000015,20240330,1200,7,28,4,New Business,354748.4,28323.67,2024-03-30,2025-03-30,False,False
16,POL000016,20260409,2013,3,7,5,New Business,92827.88,6722.15,2026-04-09,2027-04-09,False,False
17,POL000017,20251031,2039,2,19,5,Renewal,33836.16,2064.84,2025-10-31,2026-10-31,True,False
18,POL000018,20260707,171,3,13,3,Cancellation,35978.41,1212.27,2026-07-07,2027-07-07,False,True
19,POL000019,20250501,2224,8,12,2,Renewal,231545.85,13724.42,2025-05-01,2026-05-01,True,False
20,POL000020,20260310,194,3,20,4,New Business,33850.24,2769.8,2026-03-10,2027-03-10,False,False
21,POL000021,20241013,2803,3,28,4,Renewal,119075.21,8334.04,2024-10-13,2025-10-13,True,False
22,POL000022,20241026,1519,1,3,2,Cancellation,50924.86,3188.32,2024-10-26,2025-10-26,False,True
23,POL000023,20240831,2919,8,21,3,New Business,130422.18,12488.6,2024-08-31,2025-08-31,False,False
24,POL000024,20220304,2624,1,40,4,New Business,76872.32,4032.11,2022-03-04,2023-03-04,False,False
25,POL000025,20240511,2824,1,8,5,Cancellation,34058.14,930.81,2024-05-11,2025-05-11,False,True
26,POL000026,20260607,1355,8,12,2,Cancellation,30624.06,488.6,2026-06-07,2027-06-07,False,True
27,POL000027,20230119,184,8,10,4,New Business,150444.07,13734.07,2023-01-19,2024-01-19,False,False
28,POL000028,20241201,1732,6,37,3,Renewal,225073.28,11956.05,2024-12-01,2025-12-01,True,False
29,POL000029,20250115,2677,2,18,1,New Business,10549.72,1298.79,2025-01-15,2026-01-15,False,False
30,POL000030,20240906,1545,8,18,1,Renewal,130758.41,12727.17,2024-09-06,2025-09-06,True,False
31,POL000031,20240831,1039,7,39,1,New Business,910396.15,55817.33,2024-08-31,2025-08-31,False,False
32,POL000032,20250507,1840,1,9,5,Renewal,29974.68,2807.75,2025-05-07,2026-05-07,True,False
33,POL000033,20221028,473,5,11,1,Cancellation,1319019.5,18238.4,2022-10-28,2023-10-28,False,True
34,POL000034,20240107,1051,2,26,1,New Business,18927.31,1654.88,2024-01-07,2025-01-06,False,False
35,POL000035,20230114,1072,8,7,5,Renewal,173576.98,13625.77,2023-01-14,2024-01-14,True,False
36,POL000036,20220816,828,8,6,1,Renewal,189790.41,13580.12,2022-08-16,2023-08-16,True,False
37,POL000037,20241012,147,1,31,3,Renewal,25323.67,2712.22,2024-10-12,2025-10-12,True,False
38,POL000038,20240409,1590,1,12,2,New Business,105714.59,6476.26,2024-04-09,2025-04-09,False,False
39,POL000039,20250819,1786,1,40,4,New Business,115346.06,6841.34,2025-08-19,2026-08-19,False,False
40,POL000040,20250908,169,3,33,2,Renewal,107730.37,10492.23,2025-09-08,2026-09-08,True,False
41,POL000041,20231125,1303,1,3,2,Renewal,67627.93,3489.02,2023-11-25,2024-11-24,True,False
42,POL000042,20250925,1028,2,12,2,New Business,16184.22,1555.01,2025-09-25,2026-09-25,False,False
43,POL000043,20221006,1603,5,25,2,New Business,931422.38,80981.51,2022-10-06,2023-10-06,False,False
44,POL000044,20250214,754,1,13,3,New Business,144132.87,8654.46,2025-02-14,2026-02-14,False,False
45,POL000045,20231230,1805,1,5,4,Renewal,71706.83,4711.38,2023-12-30,2024-12-29,True,False
46,POL000046,20230921,660,2,10,4,Renewal,14198.16,1202.15,2023-09-21,2024-09-20,True,False
47,POL000047,20260329,267,1,27,1,Renewal,47413.88,5775.46,2026-03-29,2027-03-29,True,False
48,POL000048,20251130,2966,6,21,3,New Business,215612.86,22178.2,2025-11-30,2026-11-30,False,False
49,POL000049,20240827,958,1,1,1,New Business,61904.31,4196.18,2024-08-27,2025-08-27,False,False
50,POL000050,20260107,2323,8,8,5,Renewal,236663.02,13802.72,2026-01-07,2027-01-07,True,False
51,POL000051,20240531,2235,1,5,4,New Business,72177.29,4034.96,2024-05-31,2025-05-31,False,False
52,POL000052,20250402,2341,3,25,2,New Business,102452.77,6655.98,2025-04-02,2026-04-02,False,False
53,POL000053,20230530,974,3,32,1,Renewal,28818.21,2373.48,2023-05-30,2024-05-29,True,False
54,POL000054,20240502,1864,9,31,3,Cancellation,234036.14,8760.07,2024-05-02,2025-05-02,False,True
55,POL000055,20250704,592,2,19,5,Renewal,16244.16,1609.57,2025-07-04,2026-07-04,True,False
56,POL000056,20231030,1054,9,11,1,New Business,139777.01,16940.11,2023-10-30,2024-10-29,False,False
57,POL000057,20260113,590,8,3,2,Renewal,37728.99,2282.7,2026-01-13,2027-01-13,True,False
58,POL000058,20260211,930,4,26,1,New Business,126141.78,8128.74,2026-02-11,2027-02-11,False,False
59,POL000059,20240724,1663,1,27,1,Renewal,48690.36,3599.5,2024-07-24,2025-07-24,True,False
60,POL000060,20241114,1592,3,30,3,New Business,73807.57,6196.0,2024-11-14,2025-11-14,False,False
61,POL000061,20241206,2963,2,34,2,New Business,8700.61,820.54,2024-12-06,2025-12-06,False,False
62,POL000062,20240717,798,1,40,4,New Business,70340.0,5187.12,2024-07-17,2025-07-17,False,False
63,POL000063,20260202,1673,8,24,1,Renewal,102439.58,9698.73,2026-02-02,2027-02-02,True,False
64,POL000064,20231007,446,1,35,4,Renewal,61193.1,5273.52,2023-10-07,2024-10-06,True,False
65,POL000065,20250915,2555,8,27,1,New Business,106754.91,10065.39,2025-09-15,2026-09-15,False,False
66,POL000066,20240827,642,4,25,2,Cancellation,168239.56,7295.55,2024-08-27,2025-08-27,False,True
67,POL000067,20260721,846,1,25,2,Renewal,87682.29,8708.93,2026-07-21,2027-07-21,True,False
