payment_key,payment_id,payment_date_key,policy_key,payment_amount,payment_method
1,PAY000001,20250612,1,634.32,Credit Card
2,PAY000002,20250713,1,516.11,Cash
3,PAY000003,20250811,1,465.82,SADAD
4,PAY000004,20250911,1,1053.89,Credit Card
5,PAY000005,20240306,2,1520.9,Bank Transfer
6,PAY000006,20240402,2,5951.81,Credit Card
7,PAY000007,20240504,2,675.17,Cash
8,PAY000008,20240604,2,626.44,SADAD
9,PAY000009,20231206,3,231.63,Cash
10,PAY000010,20240103,3,3550.19,Credit Card
11,PAY000011,20220217,4,6766.33,Bank Transfer
12,PAY000012,20251206,5,1139.11,Bank Transfer
13,PAY000013,20260106,5,2816.39,Bank Transfer
14,PAY000014,20251205,6,1036.3,Bank Transfer
15,PAY000015,20260104,6,25.92,SADAD
16,PAY000016,20260131,6,518.1,Bank Transfer
17,PAY000017,20260305,6,260.54,Bank Transfer
18,PAY000018,20240927,7,2415.29,Cash
19,PAY000019,20240612,8,18250.45,SADAD
20,PAY000020,20260724,9,8590.9,Bank Transfer
21,PAY000021,20240329,10,3959.83,SADAD
22,PAY000022,20250312,11,7715.53,SADAD
23,PAY000023,20240914,12,7516.48,Credit Card
24,PAY000024,20230831,13,6300.52,Cash
25,PAY000025,20230926,13,22853.2,SADAD
26,PAY000026,20241118,14,3158.69,SADAD
27,PAY000027,20240403,15,24330.98,Cash
28,PAY000028,20240504,15,3992.69,Credit Card
29,PAY000029,20260409,16,4007.49,SADAD
30,PAY000030,20260513,16,2714.66,Credit Card
31,PAY000031,20251104,17,479.76,Credit Card
32,PAY000032,20251201,17,680.36,Cash
33,PAY000033,20260103,17,234.27,Credit Card
34,PAY000034,20260131,17,670.46,Cash
35,PAY000035,20260712,18,1212.27,SADAD
36,PAY000036,20250504,19,13724.42,Bank Transfer
37,PAY000037,20260310,20,2769.8,Cash
38,PAY000038,20241017,21,8334.04,Cash
39,PAY000039,20241026,22,3188.32,SADAD
40,PAY000040,20240831,23,8498.84,Credit Card
41,PAY000041,20241002,23,542.97,SADAD
42,PAY000042,20241101,23,2144.71,Bank Transfer
43,PAY000043,20241203,23,1302.09,Bank Transfer
44,PAY000044,20220309,24,3325.77,Bank Transfer
45,PAY000045,20220406,24,706.34,Cash
46,PAY000046,20240513,25,565.65,Cash
47,PAY000047,20240615,25,365.16,Cash
48,PAY000048,20260608,26,488.6,Bank Transfer
49,PAY000049,20230122,27,13734.07,Bank Transfer
50,PAY000050,20241203,28,11956.05,Credit Card
51,PAY000051,20250115,29,1298.79,Cash
52,PAY000052,20240911,30,409.37,Credit Card
53,PAY000053,20241009,30,9129.92,Credit Card
54,PAY000054,20241106,30,2869.18,Cash
55,PAY000055,20241209,30,318.7,Bank Transfer
56,PAY000056,20240905,31,55817.33,Cash
57,PAY000057,20250510,32,857.95,Credit Card
58,PAY000058,20250606,32,1949.8,Bank Transfer
59,PAY000059,20221029,33,11068.86,Bank Transfer
60,PAY000060,20221202,33,587.1,Bank Transfer
61,PAY000061,20221230,33,2363.29,SADAD
62,PAY000062,20230126,33,4219.15,Cash
63,PAY000063,20240107,34,1654.88,SADAD
64,PAY000064,20230115,35,6449.62,Bank Transfer
65,PAY000065,20230215,35,797.2,Credit Card
66,PAY000066,20230317,35,5323.62,Cash
67,PAY000067,20230419,35,1055.33,Bank Transfer
68,PAY000068,20220817,36,13580.12,SADAD
69,PAY000069,20241012,37,2712.22,Cash
70,PAY000070,20240410,38,247.67,Bank Transfer
71,PAY000071,20240509,38,1450.94,SADAD
72,PAY000072,20240610,38,4131.46,SADAD
73,PAY000073,20240708,38,646.19,Bank Transfer
74,PAY000074,20250822,39,6693.71,Bank Transfer
75,PAY000075,20250918,39,147.63,SADAD
76,PAY000076,20250912,40,2120.55,SADAD
77,PAY000077,20251009,40,538.77,Credit Card
78,PAY000078,20251108,40,2425.49,SADAD
79,PAY000079,20251209,40,5407.43,SADAD
80,PAY000080,20231126,41,1227.49,Credit Card
81,PAY000081,20231227,41,309.99,Credit Card
82,PAY000082,20240129,41,767.01,Credit Card
83,PAY000083,20240224,41,1184.52,Bank Transfer
84,PAY000084,20250930,42,839.84,SADAD
85,PAY000085,20251026,42,650.32,Bank Transfer
86,PAY000086,20251125,42,5.68,SADAD
87,PAY000087,20251228,42,59.17,Credit Card
88,PAY000088,20221006,43,80981.51,Credit Card
89,PAY000089,20250214,44,8654.46,Credit Card
90,PAY000090,20240102,45,4711.38,Cash
91,PAY000091,20230921,46,394.36,SADAD
92,PAY000092,20231026,46,807.79,Cash
93,PAY000093,20260331,47,3773.78,SADAD
94,PAY000094,20260501,47,154.44,Credit Card
95,PAY000095,20260528,47,241.15,Bank Transfer
96,PAY000096,20260627,47,1606.08,Bank Transfer
97,PAY000097,20251203,48,2506.36,Bank Transfer
98,PAY000098,20260104,48,9458.23,Cash
99,PAY000099,20260201,48,4962.95,Cash
100,PAY000100,20260303,48,5250.65,SADAD
101,PAY000101,20240828,49,4196.18,SADAD
102,PAY000102,20260108,50,2771.72,Credit Card
103,PAY000103,20260208,50,11031.0,Cash
104,PAY000104,20240601,51,4034.96,Cash
105,PAY000105,20250402,52,6655.98,Bank Transfer
106,PAY000106,20230604,53,2373.48,Bank Transfer
107,PAY000107,20240507,54,8760.07,Cash
108,PAY000108,20250705,55,328.03,Cash
109,PAY000109,20250804,55,232.44,Cash
110,PAY000110,20250907,55,867.11,SADAD
111,PAY000111,20251002,55,182.0,Cash
112,PAY000112,20231030,56,16940.11,Credit Card
113,PAY000113,20260118,57,2282.7,SADAD
114,PAY000114,20260211,58,8128.74,Cash
115,PAY000115,20240729,59,3599.5,Cash
116,PAY000116,20241116,60,5319.46,SADAD
117,PAY000117,20241219,60,876.54,Cash
118,PAY000118,20241207,61,138.84,Cash
119,PAY000119,20250106,61,681.7,SADAD
120,PAY000120,20240718,62,1887.99,Bank Transfer
