date_key,full_date,year,quarter,month,month_name,week,day_name,is_weekend
20220101,2022-01-01,2022,1,1,January,52,Saturday,True
20220102,2022-01-02,2022,1,1,January,52,Sunday,False
20220103,2022-01-03,2022,1,1,January,1,Monday,False
20220104,2022-01-04,2022,1,1,January,1,Tuesday,False
20220105,2022-01-05,2022,1,1,January,1,Wednesday,False
20220106,2022-01-06,2022,1,1,January,1,Thursday,False
20220107,2022-01-07,2022,1,1,January,1,Friday,True
20220108,2022-01-08,2022,1,1,January,1,Saturday,True
20220109,2022-01-09,2022,1,1,January,1,Sunday,False
20220110,2022-01-10,2022,1,1,January,2,Monday,False
20220111,2022-01-11,2022,1,1,January,2,Tuesday,False
20220112,2022-01-12,2022,1,1,January,2,Wednesday,False
20220113,2022-01-13,2022,1,1,January,2,Thursday,False
20220114,2022-01-14,2022,1,1,January,2,Friday,True
20220115,2022-01-15,2022,1,1,January,2,Saturday,True
20220116,2022-01-16,2022,1,1,January,2,Sunday,False
20220117,2022-01-17,2022,1,1,January,3,Monday,False
20220118,2022-01-18,2022,1,1,January,3,Tuesday,False
20220119,2022-01-19,2022,1,1,January,3,Wednesday,False
20220120,2022-01-20,2022,1,1,January,3,Thursday,False
20220121,2022-01-21,2022,1,1,January,3,Friday,True
20220122,2022-01-22,2022,1,1,January,3,Saturday,True
20220123,2022-01-23,2022,1,1,January,3,Sunday,False
20220124,2022-01-24,2022,1,1,January,4,Monday,False
20220125,2022-01-25,2022,1,1,January,4,Tuesday,False
20220126,2022-01-26,2022,1,1,January,4,Wednesday,False
20220127,2022-01-27,2022,1,1,January,4,Thursday,False
20220128,2022-01-28,2022,1,1,January,4,Friday,True
20220129,2022-01-29,2022,1,1,January,4,Saturday,True
20220130,2022-01-30,2022,1,1,January,4,Sunday,False
20220131,2022-01-31,2022,1,1,January,5,Monday,False
20220201,2022-02-01,2022,1,2,February,5,Tuesday,False
20220202,2022-02-02,2022,1,2,February,5,Wednesday,False
20220203,2022-02-03,2022,1,2,February,5,Thursday,False
20220204,2022-02-04,2022,1,2,February,5,Friday,True
20220205,2022-02-05,2022,1,2,February,5,Saturday,True
20220206,2022-02-06,2022,1,2,February,5,Sunday,False
20220207,2022-02-07,2022,1,2,February,6,Monday,False
20220208,2022-02-08,2022,1,2,February,6,Tuesday,False
20220209,2022-02-09,2022,1,2,February,6,Wednesday,False
20220210,2022-02-10,2022,1,2,February,6,Thursday,False
20220211,2022-02-11,2022,1,2,February,6,Friday,True
20220212,2022-02-12,2022,1,2,February,6,Saturday,True
20220213,2022-02-13,2022,1,2,February,6,Sunday,False
20220214,2022-02-14,2022,1,2,February,7,Monday,False
20220215,2022-02-15,2022,1,2,February,7,Tuesday,False
20220216,2022-02-16,2022,1,2,February,7,Wednesday,False
20220217,2022-02-17,2022,1,2,February,7,Thursday,False
20220218,2022-02-18,2022,1,2,February,7,Friday,True
20220219,2022-02-19,2022,1,2,February,7,Saturday,True
20220220,2022-02-20,2022,1,2,February,7,Sunday,False
20220221,2022-02-21,2022,1,2,February,8,Monday,False
20220222,2022-02-22,2022,1,2,February,8,Tuesday,False
20220223,2022-02-23,2022,1,2,February,8,Wednesday,False
20220224,2022-02-24,2022,1,2,February,8,Thursday,False
20220225,2022-02-25,2022,1,2,February,8,Friday,True
20220226,2022-02-26,2022,1,2,February,8,Saturday,True
20220227,2022-02-27,2022,1,2,February,8,Sunday,False
20220228,2022-02-28,2022,1,2,February,9,Monday,False
20220301,2022-03-01,2022,1,3,March,9,Tuesday,False
20220302,2022-03-02,2022,1,3,March,9,Wednesday,False
20220303,2022-03-03,2022,1,3,March,9,Thursday,False
20220304,2022-03-04,2022,1,3,March,9,Friday,True
20220305,2022-03-05,2022,1,3,March,9,Saturday,True
20220306,2022-03-06,2022,1,3,March,9,Sunday,False
20220307,2022-03-07,2022,1,3,March,10,Monday,False
20220308,2022-03-08,2022,1,3,March,10,Tuesday,False
20220309,2022-03-09,2022,1,3,March,10,Wednesday,False
20220310,2022-03-10,2022,1,3,March,10,Thursday,False
20220311,2022-03-11,2022,1,3,March,10,Friday,True
20220312,2022-03-12,2022,1,3,March,10,Saturday,True
20220313,2022-03-13,2022,1,3,March,10,Sunday,False
20220314,2022-03-14,2022,1,3,March,11,Monday,False
20220315,2022-03-15,2022,1,3,March,11,Tuesday,False
20220316,2022-03-16,2022,1,3,March,11,Wednesday,False
20220317,2022-03-17,2022,1,3,March,11,Thursday,False
20220318,2022-03-18,2022,1,3,March,11,Friday,True
20220319,2022-03-19,2022,1,3,March,11,Saturday,True
20220320,2022-03-20,2022,1,3,March,11,Sunday,False
20220321,2022-03-21,2022,1,3,March,12,Monday,False
20220322,2022-03-22,2022,1,3,March,12,Tuesday,False
20220323,2022-03-23,2022,1,3,March,12,Wednesday,False
20220324,2022-03-24,2022,1,3,March,12,Thursday,False
20220325,2022-03-25,2022,1,3,March,12,Friday,True
20220326,2022-03-26,2022,1,3,March,12,Saturday,True
20220327,2022-03-27,2022,1,3,March,12,Sunday,False
20220328,2022-03-28,2022,1,3,March,13,Monday,False
20220329,2022-03-29,2022,1,3,March,13,Tuesday,False
20220330,2022-03-30,2022,1,3,March,13,Wednesday,False
20220331,2022-03-31,2022,1,3,March,13,Thursday,False
20220401,2022-04-01,2022,2,4,April,13,Friday,True
20220402,2022-04-02,2022,2,4,April,13,Saturday,True
20220403,2022-04-03,2022,2,4,April,13,Sunday,False
20220404,2022-04-04,2022,2,4,April,14,Monday,False
20220405,2022-04-05,2022,2,4,April,14,Tuesday,False
20220406,2022-04-06,2022,2,4,April,14,Wednesday,False
20220407,2022-04-07,2022,2,4,April,14,Thursday,False
20220408,2022-04-08,2022,2,4,April,14,Friday,True
20220409,2022-04-09,2022,2,4,April,14,Saturday,True
20220410,2022-04-10,2022,2,4,April,14,Sunday,False
